Department,SourceOfFund,DateRequested,DateNeeded,DateApproved,ApprovalLagDays,TransactionType,ModeOfPayment,TermsOfPayment,PR,PO,RR,TaxRegistration,TypeOfBusiness,Currency,Amount,ServiceFee,Less:EWT,NetTotalAmount,StudentsEnrolled,ProgramCount,AccreditationAudit,GovtFundingChange,TuitionPolicy
CCIS,Project Fund,2025-04-23,2025-05-20,2025-04-30,7,Payment Only,Cheque,Net 30,PR-2025-8557,,RR-2025-2008,VAT,Honorarium 10%,PHP,23563.27,31.51,2356.33,21175.43,3222,3,0,1.01,Freeze
CAS,Project Fund,2024-01-19,2024-02-16,2024-01-21,2,Payment Only,Cheque,Net 7,PR-2024-7435,,RR-2024-2388,Non-VAT,Goods,PHP,22708.26,23.99,227.08,22457.19,3813,2,0,0.92,Freeze
CCIS,Paid Fund,2022-09-21,2022-09-30,2022-09-24,3,Payment Only,Cash,Net 7,PR-2022-7280,,RR-2022-9164,VAT,Goods,PHP,45131.66,0.0,451.32,44680.34,3028,3,0,1.07,Decrease
ATYCB,Project Fund,2025-02-23,2025-04-05,2025-02-27,4,Purchase Order,Cheque,Net 7,PR-2025-8680,PO-2025-7065,RR-2025-8564,VAT,Goods,PHP,46652.82,20.97,466.53,46165.32,868,6,0,0.97,Freeze
CEA,Special Fund,2025-01-25,2025-03-05,2025-02-04,10,Purchase Order,Cash,Net 15,PR-2025-7704,PO-2025-6544,,VAT,Rental,PHP,20958.84,0.0,1047.94,19910.9,5158,8,0,0.92,Freeze
CORPCOMM,Special Fund,2025-03-10,2025-04-17,2025-03-22,12,Purchase Order,Fund Transfer,Net 30,PR-2025-2850,PO-2025-5059,RR-2025-9850,Non-VAT,Services,PHP,10048.36,35.44,200.97,9811.95,278,0,0,1.04,Freeze
CORPCOMM,Project Fund,2021-07-09,2021-08-14,2021-07-19,10,Purchase Order,Cheque,Net 30,PR-2021-3730,PO-2021-5806,,VAT,Honorarium 10%,PHP,9346.87,23.7,934.69,8388.48,317,0,0,1.07,Freeze
CHS,Special Fund,2025-11-17,2025-12-13,2025-12-12,25,Purchase Order,Fund Transfer,Net 30,PR-2025-6897,PO-2025-8552,RR-2025-1643,VAT,Goods,PHP,23563.95,10.89,235.64,23317.42,2918,5,0,0.95,Decrease
LMO,Special Fund,2025-10-10,2025-11-03,2025-10-27,17,Payment Only,Fund Transfer,Net 45,PR-2025-7825,,RR-2025-8575,Non-VAT,Goods,PHP,7822.55,108.78,78.23,7635.54,590,0,0,0.97,Freeze
TO,Special Fund,2022-10-15,2022-11-02,2022-10-29,14,Purchase Order,Cheque,Net 45,PR-2022-6803,PO-2022-7650,,VAT,Goods,USD,9140.27,25.58,91.4,9023.29,712,0,0,1.07,Freeze
CLIR,General Fund,2021-04-23,2021-05-29,2021-04-23,0,Payment Only,Fund Transfer,Immediate,PR-2021-1495,,RR-2021-2373,VAT,Goods,PHP,17956.0,98.8,179.56,17677.64,436,0,0,1.08,Freeze
CHS,Special Fund,2021-11-27,2021-12-29,2021-12-01,4,Purchase Order,Fund Transfer,Net 7,PR-2021-7645,PO-2021-2513,RR-2021-1935,Non-VAT,Services,PHP,31224.16,40.83,624.48,30558.85,2538,5,0,0.92,Freeze
CSCE,General Fund,2025-12-23,2026-02-03,2025-12-29,6,Purchase Order,Fund Transfer,Net 15,PR-2025-6279,PO-2025-9934,RR-2025-3929,Non-VAT,Goods,PHP,15144.03,39.89,151.44,14952.7,448,0,0,0.93,Freeze
CEA,Special Fund,2023-11-24,2023-12-05,2023-12-01,7,Payment Only,Cash,Net 30,PR-2023-6458,,RR-2023-7981,VAT,Services,PHP,28363.78,0.0,567.28,27796.5,5083,8,0,1.05,Decrease
OVPAA,General Fund,2022-10-13,2022-11-08,2022-10-20,7,Purchase Order,Cash,Net 7,PR-2022-5873,PO-2022-5287,RR-2022-2469,VAT,Rental,PHP,8510.87,0.0,425.54,8085.33,284,0,0,1.05,Freeze
CAS,Special Fund,2022-06-03,2022-06-26,2022-06-05,2,Purchase Order,Fund Transfer,Immediate,PR-2022-9656,PO-2022-6772,RR-2022-8408,VAT,Services,PHP,27565.27,18.8,551.31,26995.16,4005,2,1,0.91,Decrease
CHS,Project Fund,2022-04-16,2022-05-20,2022-04-21,5,Payment Only,Cheque,Net 15,PR-2022-3903,,RR-2022-1541,Non-VAT,Rental,PHP,33986.44,40.4,1699.32,32246.72,2616,5,0,0.93,Freeze
OP,Project Fund,2024-04-16,2024-05-02,2024-04-25,9,Purchase Order,Fund Transfer,Net 30,PR-2024-2048,PO-2024-2765,RR-2024-9308,VAT,Goods,PHP,13754.0,102.66,137.54,13513.8,530,0,0,1.01,Freeze
CEA,General Fund,2023-02-09,2023-03-18,2023-02-13,4,Payment Only,Cash,Net 15,PR-2023-9380,,,VAT,Honorarium 5%,PHP,77569.77,0.0,3878.49,73691.28,4998,8,0,0.97,Freeze
ATYCB,General Fund,2025-11-01,2025-11-30,2025-11-05,4,Purchase Order,Cheque,Net 7,PR-2025-4630,PO-2025-3708,RR-2025-8636,VAT,Services,PHP,31082.96,21.87,621.66,30439.43,881,6,0,1.03,Freeze
HS,General Fund,2024-05-09,2024-05-16,2024-05-11,2,Purchase Order,Cheque,Immediate,PR-2024-1706,PO-2024-8121,RR-2024-5810,VAT,Goods,PHP,29453.92,34.05,294.54,29125.33,300,0,0,0.93,Decrease
OAVP,Project Fund,2024-12-19,2025-01-17,2025-01-02,14,Purchase Order,Cheque,Net 7,PR-2024-1603,PO-2024-5348,,VAT,Goods,PHP,17034.55,18.78,170.35,16845.42,255,0,0,0.93,Freeze
ACO,General Fund,2022-06-17,2022-07-19,2022-06-20,3,Payment Only,Fund Transfer,Net 7,PR-2022-6236,,RR-2022-8472,VAT,Goods,PHP,13285.9,51.03,132.86,13102.01,576,0,0,1.09,Freeze
CEA,Special Fund,2021-05-23,2021-06-16,2021-05-29,6,Payment Only,Fund Transfer,Net 15,PR-2021-2642,,RR-2021-6638,VAT,Honorarium 5%,PHP,29276.94,86.32,1463.85,27726.77,4937,8,0,1.04,Freeze
CAS,Others,2023-06-19,2023-07-25,2023-07-03,14,Purchase Order,Fund Transfer,Net 15,PR-2023-2729,PO-2023-7184,RR-2023-8717,VAT,Rental,PHP,49328.55,31.2,2466.43,46830.92,3926,2,0,0.91,Increase
ITO,Project Fund,2022-07-24,2022-08-28,2022-07-30,6,Purchase Order,Cash,Net 15,PR-2022-1711,PO-2022-2699,RR-2022-1180,VAT,Services,PHP,8428.82,0.0,168.58,8260.24,397,0,0,0.94,Increase
CHS,General Fund,2022-01-16,2022-02-15,2022-01-23,7,Purchase Order,Cash,Net 15,PR-2022-1608,PO-2022-8684,RR-2022-9180,Non-VAT,Services,PHP,51264.26,0.0,1025.29,50238.97,2659,5,0,1.07,Increase
TO,General Fund,2025-09-05,2025-10-10,2025-09-16,11,Purchase Order,Cheque,Net 15,PR-2025-9353,PO-2025-1125,RR-2025-4621,VAT,Services,PHP,12057.05,1.39,241.14,11814.52,643,0,0,1.04,Decrease
CSCE,Paid Fund,2023-03-26,2023-04-28,2023-03-30,4,Payment Only,Fund Transfer,Net 15,PR-2023-9305,,RR-2023-5354,VAT,Goods,PHP,7974.51,99.61,79.75,7795.15,518,0,0,0.95,Decrease
BDCCO,Special Fund,2021-11-19,2021-12-11,2021-11-23,4,Payment Only,Fund Transfer,Net 7,PR-2021-8665,,RR-2021-2340,VAT,Rental,PHP,3915.73,118.96,195.79,3600.98,711,0,0,1.09,Increase
CAS,General Fund,2022-01-06,2022-01-14,2022-01-12,6,Purchase Order,Cheque,Net 15,PR-2022-5986,PO-2022-3674,RR-2022-8404,VAT,Honorarium 5%,PHP,46886.23,31.22,2344.31,44510.7,4041,2,1,0.96,Freeze
IDEALS,Paid Fund,2022-05-03,2022-05-26,2022-05-14,11,Purchase Order,Fund Transfer,Net 30,PR-2022-7190,PO-2022-7058,,Non-VAT,Honorarium 10%,PHP,8630.32,18.48,863.03,7748.81,500,0,0,1.1,Decrease
HS,Special Fund,2025-12-11,2025-12-18,2025-12-13,2,Payment Only,Cash,Net 7,PR-2025-2223,,,Non-VAT,Goods,PHP,21302.9,0.0,213.03,21089.87,338,0,0,1.06,Freeze
BDCCO,General Fund,2022-04-13,2022-04-29,2022-04-17,4,Purchase Order,Fund Transfer,Net 7,PR-2022-1082,PO-2022-3074,RR-2022-4631,VAT,Goods,PHP,21810.2,61.13,218.1,21530.97,689,0,0,0.94,Decrease
RO,Paid Fund,2022-08-25,2022-09-12,2022-09-07,13,Purchase Order,Fund Transfer,Net 30,PR-2022-6773,PO-2022-2556,RR-2022-6295,VAT,Services,PHP,22357.07,24.23,447.14,21885.7,480,0,0,1.04,Freeze
IFO,General Fund,2024-04-08,2024-05-06,2024-04-25,17,Purchase Order,Fund Transfer,Net 30,PR-2024-9457,PO-2024-4451,,VAT,Goods,PHP,40761.67,87.22,407.62,40266.83,665,0,0,0.97,Freeze
CORPCOMM,General Fund,2022-06-06,2022-06-29,2022-06-28,22,Purchase Order,Fund Transfer,Net 45,PR-2022-5769,PO-2022-7817,,VAT,Honorarium 5%,PHP,19573.61,101.51,978.68,18493.42,297,0,0,1.09,Freeze
ATYCB,Special Fund,2022-02-01,2022-03-03,2022-02-20,19,Payment Only,Cheque,Net 30,PR-2022-3522,,,Non-VAT,Goods,PHP,46627.4,17.06,466.27,46144.07,952,6,0,0.99,Freeze
HRMO,General Fund,2021-10-24,2021-11-28,2021-10-30,6,Purchase Order,Fund Transfer,Net 15,PR-2021-3135,PO-2021-3461,RR-2021-5983,Non-VAT,Goods,PHP,9334.25,142.7,93.34,9098.21,683,0,0,1.09,Freeze
ICELL,General Fund,2022-07-01,2022-08-02,2022-07-08,7,Payment Only,Fund Transfer,Net 30,PR-2022-5411,,RR-2022-7912,VAT,Goods,PHP,16983.9,49.55,169.84,16764.51,643,0,0,0.98,Increase
BDCCO,General Fund,2021-06-20,2021-07-09,2021-06-28,8,Purchase Order,Fund Transfer,Net 15,PR-2021-1279,PO-2021-1267,,VAT,Services,PHP,21541.99,25.15,430.84,21086.0,684,0,0,1.05,Freeze
CAS,General Fund,2021-02-02,2021-02-27,2021-02-04,2,Purchase Order,Fund Transfer,Immediate,PR-2021-4245,PO-2021-2979,RR-2021-9321,VAT,Honorarium 5%,PHP,38901.85,79.8,1945.09,36876.96,4150,2,0,1.02,Increase
CORPCOMM,Project Fund,2025-01-26,2025-02-12,2025-01-31,5,Payment Only,Fund Transfer,Net 15,PR-2025-1676,,,Non-VAT,Goods,PHP,22865.57,15.72,228.66,22621.19,288,0,0,1.0,Freeze
ATYCB,General Fund,2021-09-23,2021-11-04,2021-10-02,9,Payment Only,Cheque,Net 30,PR-2021-2624,,RR-2021-5987,VAT,Honorarium 10%,PHP,43482.88,35.61,4348.29,39098.98,1055,6,0,0.99,Freeze
CAS,Project Fund,2024-12-10,2024-12-22,2024-12-14,4,Payment Only,Cheque,Net 7,PR-2024-6920,,RR-2024-9268,Non-VAT,Goods,PHP,55661.14,18.02,556.61,55086.51,3753,2,0,0.96,Freeze
CAS,Paid Fund,2025-01-21,2025-02-20,2025-01-26,5,Payment Only,Fund Transfer,Net 15,PR-2025-8348,,RR-2025-9375,VAT,Honorarium 5%,PHP,46354.96,47.72,2317.75,43989.49,3627,2,0,1.01,Increase
CEA,Paid Fund,2023-09-15,2023-10-26,2023-09-21,6,Purchase Order,Fund Transfer,Net 15,PR-2023-6883,PO-2023-2057,RR-2023-9699,Non-VAT,Rental,PHP,21931.52,81.42,1096.58,20753.52,5077,8,0,1.06,Freeze
1900 STORE,Project Fund,2022-07-20,2022-08-20,2022-07-27,7,Payment Only,Cheque,Net 30,PR-2022-1656,,RR-2022-9950,VAT,Services,PHP,8538.93,5.55,170.78,8362.6,769,0,0,1.06,Freeze
LMO,General Fund,2021-09-20,2021-09-30,2021-09-29,9,Purchase Order,Fund Transfer,Net 7,PR-2021-2425,PO-2021-6461,,VAT,Goods,PHP,19653.59,103.97,196.54,19353.08,635,0,0,1.04,Freeze
CHS,Special Fund,2024-09-10,2024-10-24,2024-09-12,2,Payment Only,Fund Transfer,Net 7,PR-2024-8803,,RR-2024-3212,VAT,Rental,PHP,35003.91,36.4,1750.2,33217.31,2819,5,0,1.03,Freeze
LMO,Special Fund,2024-01-08,2024-02-20,2024-01-12,4,Purchase Order,Cheque,Immediate,PR-2024-5203,PO-2024-5667,RR-2024-2022,VAT,Goods,PHP,7460.02,3.39,74.6,7382.03,564,0,0,0.97,Freeze
CHS,Paid Fund,2024-04-01,2024-04-15,2024-04-12,11,Purchase Order,Cash,Net 30,PR-2024-9750,PO-2024-2869,,VAT,Rental,PHP,25421.39,0.0,1271.07,24150.32,2839,5,0,1.06,Freeze
IFO,General Fund,2021-01-14,2021-02-13,2021-01-16,2,Purchase Order,Fund Transfer,Immediate,PR-2021-3520,PO-2021-1734,RR-2021-4855,VAT,Goods,PHP,12599.6,49.59,126.0,12424.01,661,0,0,1.09,Freeze
CCIS,General Fund,2025-08-14,2025-08-30,2025-08-24,10,Payment Only,Fund Transfer,Net 15,PR-2025-8489,,,VAT,Honorarium 5%,PHP,43485.28,84.26,2174.26,41226.76,3223,3,0,0.97,Increase
QAEO,General Fund,2021-04-16,2021-05-14,2021-05-04,18,Purchase Order,Fund Transfer,Net 15,PR-2021-4287,PO-2021-3556,,Non-VAT,Goods,PHP,12079.24,56.77,120.79,11901.68,485,0,0,1.01,Increase
ICELL,Paid Fund,2022-11-11,2022-12-01,2022-11-27,16,Purchase Order,Cheque,Net 15,PR-2022-4558,PO-2022-1341,RR-2022-5009,Non-VAT,Services,PHP,16416.34,39.49,328.33,16048.52,701,0,0,1.02,Decrease
CHSW,Special Fund,2023-01-25,2023-02-14,2023-01-26,1,Payment Only,Fund Transfer,Immediate,PR-2023-1602,,RR-2023-5508,Non-VAT,Goods,PHP,17145.63,92.82,171.46,16881.35,417,0,0,1.1,Increase
ATYCB,Project Fund,2021-01-24,2021-02-14,2021-01-24,0,Payment Only,Fund Transfer,Immediate,PR-2021-1407,,RR-2021-4736,Non-VAT,Services,PHP,37917.03,108.13,758.34,37050.56,1020,6,0,1.09,Freeze
NSTP,Project Fund,2023-06-22,2023-07-01,2023-06-22,0,Payment Only,Fund Transfer,Immediate,PR-2023-9401,,RR-2023-3055,VAT,Goods,PHP,11107.46,130.47,111.07,10865.92,462,0,0,0.94,Increase
1900 STORE,General Fund,2024-10-17,2024-11-12,2024-10-29,12,Purchase Order,Fund Transfer,Net 30,PR-2024-5076,PO-2024-5850,,VAT,Goods,PHP,14393.19,25.65,143.93,14223.61,802,0,0,0.97,Freeze
CEA,Project Fund,2025-02-13,2025-03-19,2025-03-05,20,Purchase Order,Fund Transfer,Net 15,PR-2025-9706,PO-2025-9985,,VAT,Rental,PHP,71651.11,38.26,3582.56,68030.29,5198,8,0,0.95,Freeze
CHS,Special Fund,2025-05-19,2025-06-14,2025-05-30,11,Purchase Order,Cheque,Net 30,PR-2025-8352,PO-2025-6662,RR-2025-5120,VAT,Rental,PHP,39770.16,34.56,1988.51,37747.09,2923,5,0,1.09,Decrease
CAS,General Fund,2023-06-10,2023-07-20,2023-06-21,11,Payment Only,Fund Transfer,Net 45,PR-2023-1296,,,Non-VAT,Goods,PHP,53006.96,97.69,530.07,52379.2,3912,2,0,0.94,Freeze
ATYCB,Special Fund,2024-03-21,2024-04-28,2024-04-13,23,Payment Only,Cash,Net 30,PR-2024-7424,,RR-2024-2452,VAT,Honorarium 5%,PHP,68639.71,0.0,3431.99,65207.72,937,6,0,1.06,Increase
CEA,General Fund,2021-05-21,2021-06-18,2021-05-30,9,Payment Only,Cash,Net 15,PR-2021-4061,,RR-2021-8465,VAT,Services,USD,35715.17,0.0,714.3,35000.87,4931,8,0,1.0,Freeze
CCIS,Paid Fund,2023-06-21,2023-07-24,2023-06-22,1,Payment Only,Fund Transfer,Immediate,PR-2023-8572,,,VAT,Services,PHP,27888.63,126.63,557.77,27204.23,3125,3,0,0.9,Freeze
CEA,General Fund,2021-10-10,2021-10-30,2021-10-29,19,Purchase Order,Cheque,Net 45,PR-2021-3384,PO-2021-9232,,VAT,Goods,PHP,37985.85,29.13,379.86,37576.86,4920,8,0,1.04,Freeze
OVPAA,General Fund,2022-11-18,2022-11-28,2022-11-21,3,Purchase Order,Cash,Immediate,PR-2022-5975,PO-2022-8124,,VAT,Goods,PHP,7964.33,0.0,79.64,7884.69,263,0,0,0.93,Freeze
EVP or COO,Paid Fund,2022-08-12,2022-09-07,2022-08-22,10,Purchase Order,Cash,Net 30,PR-2022-1014,PO-2022-5301,RR-2022-5472,VAT,Honorarium 5%,PHP,8568.48,0.0,428.42,8140.06,371,0,0,1.04,Decrease
QAEO,General Fund,2023-02-06,2023-03-03,2023-02-06,0,Payment Only,Fund Transfer,Immediate,PR-2023-9883,,,VAT,Honorarium 5%,PHP,13915.6,147.8,695.78,13072.02,495,0,0,0.9,Freeze
ATYCB,Special Fund,2023-12-19,2024-01-14,2023-12-23,4,Purchase Order,Cheque,Net 7,PR-2023-2137,PO-2023-9440,RR-2023-3286,VAT,Goods,PHP,53045.54,31.57,530.46,52483.51,965,6,0,0.99,Increase
NSTP,Special Fund,2025-06-21,2025-07-25,2025-07-11,20,Purchase Order,Cash,Net 45,PR-2025-2357,PO-2025-1782,RR-2025-3214,VAT,Services,USD,21425.56,0.0,428.51,20997.05,487,0,0,1.06,Increase
CAS,General Fund,2023-01-16,2023-02-06,2023-01-30,14,Payment Only,Cash,Net 15,PR-2023-7545,,RR-2023-3170,VAT,Services,PHP,59338.95,0.0,1186.78,58152.17,3893,2,0,0.94,Increase
CAS,Special Fund,2025-12-02,2026-01-02,2025-12-09,7,Payment Only,Cash,Net 30,PR-2025-8647,,,VAT,Honorarium 10%,PHP,21556.96,0.0,2155.7,19401.26,3711,2,0,1.03,Decrease
BDCCO,Paid Fund,2024-10-09,2024-11-01,2024-10-13,4,Payment Only,Fund Transfer,Net 15,PR-2024-1654,,,Non-VAT,Services,PHP,7706.96,110.8,154.14,7442.02,706,0,0,0.96,Freeze
CLIR,Special Fund,2023-07-15,2023-08-07,2023-07-24,9,Purchase Order,Fund Transfer,Net 30,PR-2023-8904,PO-2023-1039,,VAT,Services,PHP,22478.1,71.64,449.56,21956.9,454,0,0,1.1,Freeze
NSTP,Special Fund,2024-03-02,2024-03-19,2024-03-14,12,Purchase Order,Cheque,Net 45,PR-2024-9350,PO-2024-4899,RR-2024-8040,VAT,Services,PHP,20488.24,35.82,409.76,20042.66,559,0,0,1.01,Freeze
NSTP,General Fund,2021-06-27,2021-08-09,2021-07-06,9,Purchase Order,Fund Transfer,Net 30,PR-2021-6169,PO-2021-3835,RR-2021-8506,VAT,Services,PHP,16024.99,87.4,320.5,15617.09,514,0,0,1.08,Increase
ADO,Project Fund,2025-03-27,2025-04-14,2025-03-29,2,Payment Only,Fund Transfer,Net 7,PR-2025-6864,,,VAT,Rental,PHP,15315.22,41.58,765.76,14507.88,252,0,0,1.04,Freeze
CORPCOMM,General Fund,2023-12-05,2024-01-14,2023-12-17,12,Purchase Order,Cash,Net 45,PR-2023-4887,PO-2023-5375,RR-2023-2157,Non-VAT,Goods,PHP,18194.28,0.0,181.94,18012.34,259,0,0,0.93,Freeze
CHS,General Fund,2025-12-27,2026-02-04,2026-01-05,9,Purchase Order,Fund Transfer,Net 30,PR-2025-8593,PO-2025-6676,RR-2025-8833,VAT,Services,PHP,52172.04,83.66,1043.44,51044.94,2881,5,0,1.01,Freeze
CHS,General Fund,2024-03-16,2024-04-20,2024-03-31,15,Payment Only,Cheque,Net 30,PR-2024-9015,,RR-2024-9482,Non-VAT,Goods,PHP,39848.1,11.32,398.48,39438.3,2768,5,0,0.92,Freeze
PO,Project Fund,2025-02-13,2025-02-28,2025-02-22,9,Purchase Order,Fund Transfer,Net 15,PR-2025-6765,PO-2025-4124,RR-2025-5850,VAT,Goods,PHP,22155.7,131.86,221.56,21802.28,474,0,0,1.08,Increase
CHS,Project Fund,2025-01-07,2025-02-02,2025-01-29,22,Payment Only,Cheque,Net 45,PR-2025-6770,,,VAT,Goods,PHP,45429.88,20.61,454.3,44954.97,2892,5,0,1.02,Freeze
TO,Paid Fund,2022-09-24,2022-11-05,2022-09-28,4,Payment Only,Cash,Net 15,PR-2022-6541,,RR-2022-4604,VAT,Services,PHP,9744.59,0.0,194.89,9549.7,687,0,0,1.02,Freeze
ADO,Others,2022-04-02,2022-04-16,2022-04-06,4,Payment Only,Cheque,Net 15,PR-2022-1358,,,VAT,Honorarium 5%,PHP,20284.44,10.35,1014.22,19259.87,163,0,0,0.96,Freeze
HS,General Fund,2023-02-27,2023-03-14,2023-03-13,14,Payment Only,Cash,Net 45,PR-2023-1374,,RR-2023-3387,VAT,Honorarium 5%,PHP,16373.09,0.0,818.65,15554.44,313,0,0,1.04,Freeze
BDCCO,General Fund,2023-04-21,2023-06-03,2023-04-30,9,Purchase Order,Cheque,Net 30,PR-2023-4383,PO-2023-7775,,VAT,Goods,USD,21460.65,9.23,214.61,21236.81,766,0,0,1.07,Decrease
CEA,Project Fund,2022-03-11,2022-04-12,2022-03-18,7,Payment Only,Cheque,Net 30,PR-2022-2619,,,VAT,Services,PHP,26969.05,18.79,539.38,26410.88,5018,8,0,0.91,Freeze
CCIS,Project Fund,2025-06-09,2025-07-09,2025-06-17,8,Payment Only,Cash,Net 15,PR-2025-9071,,RR-2025-1521,VAT,Services,PHP,23407.79,0.0,468.16,22939.63,3183,3,0,1.03,Decrease
RO,Special Fund,2023-09-07,2023-10-09,2023-09-14,7,Purchase Order,Fund Transfer,Net 7,PR-2023-4020,PO-2023-8065,,VAT,Honorarium 5%,PHP,8660.94,142.05,433.05,8085.84,543,0,0,0.99,Freeze
HS,Special Fund,2025-11-10,2025-11-19,2025-11-18,8,Purchase Order,Fund Transfer,Net 30,PR-2025-3917,PO-2025-7869,RR-2025-3647,Non-VAT,Goods,PHP,15486.36,131.94,154.86,15199.56,320,0,0,1.0,Increase
EVP or COO,General Fund,2025-01-07,2025-01-19,2025-01-18,11,Purchase Order,Cheque,Net 30,PR-2025-4903,PO-2025-7378,RR-2025-9971,VAT,Goods,PHP,19785.6,22.74,197.86,19565.0,398,0,0,1.06,Increase
ITO,Paid Fund,2023-10-13,2023-11-05,2023-10-18,5,Purchase Order,Fund Transfer,Net 7,PR-2023-5155,PO-2023-3188,,VAT,Goods,PHP,8041.35,116.92,80.41,7844.02,401,0,0,1.05,Freeze
CGC,Others,2025-09-07,2025-09-25,2025-09-17,10,Payment Only,Cash,Net 45,PR-2025-3364,,RR-2025-7034,VAT,Goods,PHP,11286.13,0.0,112.86,11173.27,793,0,0,1.0,Increase
CCIS,Special Fund,2023-07-24,2023-08-11,2023-07-31,7,Payment Only,Cash,Net 7,PR-2023-5265,,RR-2023-9449,Non-VAT,Honorarium 5%,PHP,16787.64,0.0,839.38,15948.26,3058,3,0,0.98,Increase
ITO,General Fund,2025-05-04,2025-06-10,2025-05-07,3,Payment Only,Cash,Net 7,PR-2025-8549,,RR-2025-8780,VAT,Goods,PHP,13269.89,0.0,132.7,13137.19,451,0,0,0.94,Increase
ATYCB,General Fund,2022-11-08,2022-12-13,2022-11-12,4,Purchase Order,Fund Transfer,Net 7,PR-2022-6197,PO-2022-9803,RR-2022-2959,VAT,Services,PHP,41614.62,62.21,832.29,40720.12,945,6,0,1.06,Freeze
CEA,Special Fund,2022-12-19,2023-01-06,2022-12-23,4,Purchase Order,Cheque,Net 7,PR-2022-8929,PO-2022-9354,RR-2022-2436,VAT,Goods,PHP,21128.42,11.35,211.28,20905.79,4966,8,0,0.92,Increase
CEA,General Fund,2023-02-18,2023-03-26,2023-03-21,31,Payment Only,Cheque,Net 45,PR-2023-7521,,RR-2023-1135,VAT,Goods,PHP,35762.33,2.2,357.62,35402.51,5076,8,0,1.04,Increase
ATYCB,General Fund,2023-10-25,2023-11-17,2023-10-31,6,Purchase Order,Cash,Net 15,PR-2023-9657,PO-2023-7300,RR-2023-1236,VAT,Services,PHP,42255.79,0.0,845.12,41410.67,968,6,0,1.08,Freeze
CLIR,Project Fund,2023-10-03,2023-10-16,2023-10-15,12,Purchase Order,Fund Transfer,Net 7,PR-2023-4638,PO-2023-1333,RR-2023-7365,Non-VAT,Goods,PHP,15709.71,11.68,157.1,15540.93,363,0,0,1.03,Freeze
ICELL,Project Fund,2023-06-10,2023-06-25,2023-06-24,14,Payment Only,Fund Transfer,Net 45,PR-2023-2588,,RR-2023-5291,VAT,Goods,PHP,6801.17,106.65,68.01,6626.51,648,0,0,0.96,Freeze
CHS,General Fund,2022-07-12,2022-08-05,2022-07-19,7,Payment Only,Fund Transfer,Net 30,PR-2022-7861,,RR-2022-5730,Non-VAT,Goods,PHP,37950.63,78.38,379.51,37492.74,2612,5,0,0.96,Freeze
CCIS,Special Fund,2025-08-10,2025-09-07,2025-08-16,6,Payment Only,Cash,Net 15,PR-2025-4805,,RR-2025-7044,VAT,Rental,PHP,13845.39,0.0,692.27,13153.12,3243,3,1,1.05,Freeze
OP,Special Fund,2023-12-27,2024-02-04,2024-01-05,9,Purchase Order,Cheque,Net 30,PR-2023-6972,PO-2023-3059,RR-2023-6533,VAT,Goods,PHP,9268.07,31.35,92.68,9144.04,512,0,0,1.1,Increase
DOST,Others,2023-01-12,2023-02-18,2023-01-15,3,Payment Only,Fund Transfer,Net 7,PR-2023-1554,,RR-2023-5663,VAT,Goods,PHP,12679.81,22.49,126.8,12530.52,275,0,0,0.96,Decrease
CAS,Project Fund,2024-04-07,2024-05-06,2024-04-16,9,Purchase Order,Fund Transfer,Net 30,PR-2024-5868,PO-2024-8264,RR-2024-6415,VAT,Rental,PHP,18907.5,102.87,945.38,17859.25,3836,2,0,0.96,Freeze
CHSW,Paid Fund,2024-11-13,2024-12-14,2024-11-22,9,Purchase Order,Cheque,Net 30,PR-2024-8474,PO-2024-6370,RR-2024-9044,VAT,Goods,PHP,22905.81,4.41,229.06,22672.34,359,0,0,0.99,Increase
QAEO,General Fund,2025-10-17,2025-10-31,2025-10-26,9,Purchase Order,Fund Transfer,Net 30,PR-2025-1756,PO-2025-5590,RR-2025-2571,VAT,Goods,PHP,4365.49,79.54,43.65,4242.3,460,0,0,0.93,Freeze
OSS,General Fund,2023-06-07,2023-07-16,2023-07-15,38,Purchase Order,Fund Transfer,Net 30,PR-2023-3107,PO-2023-7172,RR-2023-5750,VAT,Goods,PHP,14183.08,93.81,141.83,13947.44,364,0,0,0.91,Freeze
CHS,Special Fund,2021-07-28,2021-08-28,2021-08-09,12,Purchase Order,Cash,Net 45,PR-2021-3236,PO-2021-5708,RR-2021-8569,VAT,Honorarium 10%,PHP,9716.79,0.0,971.68,8745.11,2623,5,0,1.01,Freeze
MARCOMM,General Fund,2023-03-22,2023-04-25,2023-04-05,14,Payment Only,Fund Transfer,Net 15,PR-2023-9455,,RR-2023-5343,Non-VAT,Goods,PHP,15044.26,12.19,150.44,14881.63,579,0,0,1.03,Decrease
QAEO,Paid Fund,2023-05-04,2023-06-13,2023-05-13,9,Purchase Order,Cash,Net 7,PR-2023-7393,PO-2023-8356,,VAT,Honorarium 5%,PHP,41235.34,0.0,2061.77,39173.57,415,0,0,0.91,Freeze
CEA,Project Fund,2025-06-24,2025-07-24,2025-06-29,5,Purchase Order,Cheque,Net 7,PR-2025-8442,PO-2025-7388,,VAT,Goods,PHP,82392.69,14.97,823.93,81553.79,5126,8,0,1.0,Freeze
CCIS,Paid Fund,2023-01-28,2023-02-18,2023-02-01,4,Purchase Order,Fund Transfer,Net 7,PR-2023-2930,PO-2023-1466,RR-2023-8091,Non-VAT,Goods,PHP,30808.17,52.56,308.08,30447.53,3041,3,0,0.95,Freeze
